名称	道具种类	具体类别	动画文件名	对应物件索引	宽度	高度	说明文字	详细类别
冥幻之幽蛊暗衣碎片(5/6)	4	1065	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之幽蛊暗衣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“冥幻之幽蛊暗衣”。	1
冥幻之幽蛊暗衣碎片(6/6)	4	1066	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之幽蛊暗衣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“冥幻之幽蛊暗衣”。	1
咒缚之破甲头环碎片(1/6)	4	1067	\spr\item\citydefence\bigfragment.spr	347	1	1	咒缚之破甲头环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之破甲头环”。	1
咒缚之破甲头环碎片(2/6)	4	1068	\spr\item\citydefence\bigfragment.spr	347	1	1	咒缚之破甲头环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之破甲头环”。	1
咒缚之破甲头环碎片(3/6)	4	1069	\spr\item\citydefence\bigfragment.spr	347	1	1	咒缚之破甲头环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之破甲头环”。	1
咒缚之破甲头环碎片(4/6)	4	1070	\spr\item\citydefence\bigfragment.spr	347	1	1	咒缚之破甲头环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之破甲头环”。	1
咒缚之破甲头环碎片(5/6)	4	1071	\spr\item\citydefence\bigfragment.spr	347	1	1	咒缚之破甲头环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之破甲头环”。	1
咒缚之破甲头环碎片(6/6)	4	1072	\spr\item\citydefence\bigfragment.spr	347	1	1	咒缚之破甲头环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之破甲头环”。	1
冰寒之玄衣束甲碎片(1/6)	4	1073	\spr\item\citydefence\bigfragment.spr	347	1	1	冰寒之玄衣束甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“冰寒之玄衣束甲”。	1
冰寒之玄衣束甲碎片(2/6)	4	1074	\spr\item\citydefence\bigfragment.spr	347	1	1	冰寒之玄衣束甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“冰寒之玄衣束甲”。	1
冰寒之玄衣束甲碎片(3/6)	4	1075	\spr\item\citydefence\bigfragment.spr	347	1	1	冰寒之玄衣束甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“冰寒之玄衣束甲”。	1
冰寒之玄衣束甲碎片(4/6)	4	1076	\spr\item\citydefence\bigfragment.spr	347	1	1	冰寒之玄衣束甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“冰寒之玄衣束甲”。	1
冰寒之玄衣束甲碎片(5/6)	4	1077	\spr\item\citydefence\bigfragment.spr	347	1	1	冰寒之玄衣束甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“冰寒之玄衣束甲”。	1
冰寒之玄衣束甲碎片(6/6)	4	1078	\spr\item\citydefence\bigfragment.spr	347	1	1	冰寒之玄衣束甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“冰寒之玄衣束甲”。	1
森荒之星陨飞履碎片(1/6)	4	1079	\spr\item\citydefence\bigfragment.spr	347	1	1	森荒之星陨飞履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“森荒之星陨飞履”。	1
森荒之星陨飞履碎片(2/6)	4	1080	\spr\item\citydefence\bigfragment.spr	347	1	1	森荒之星陨飞履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“森荒之星陨飞履”。	1
森荒之星陨飞履碎片(3/6)	4	1081	\spr\item\citydefence\bigfragment.spr	347	1	1	森荒之星陨飞履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“森荒之星陨飞履”。	1
森荒之星陨飞履碎片(4/6)	4	1082	\spr\item\citydefence\bigfragment.spr	347	1	1	森荒之星陨飞履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“森荒之星陨飞履”。	1
森荒之星陨飞履碎片(5/6)	4	1083	\spr\item\citydefence\bigfragment.spr	347	1	1	森荒之星陨飞履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“森荒之星陨飞履”。	1
森荒之星陨飞履碎片(6/6)	4	1084	\spr\item\citydefence\bigfragment.spr	347	1	1	森荒之星陨飞履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“森荒之星陨飞履”。	1
地魄之五行连环冠碎片(1/6)	4	1085	\spr\item\citydefence\bigfragment.spr	347	1	1	地魄之五行连环冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之五行连环冠”。	1
地魄之五行连环冠碎片(2/6)	4	1086	\spr\item\citydefence\bigfragment.spr	347	1	1	地魄之五行连环冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之五行连环冠”。	1
地魄之五行连环冠碎片(3/6)	4	1087	\spr\item\citydefence\bigfragment.spr	347	1	1	地魄之五行连环冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之五行连环冠”。	1
地魄之五行连环冠碎片(4/6)	4	1088	\spr\item\citydefence\bigfragment.spr	347	1	1	地魄之五行连环冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之五行连环冠”。	1
地魄之五行连环冠碎片(5/6)	4	1089	\spr\item\citydefence\bigfragment.spr	347	1	1	地魄之五行连环冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之五行连环冠”。	1
地魄之五行连环冠碎片(6/6)	4	1090	\spr\item\citydefence\bigfragment.spr	347	1	1	地魄之五行连环冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之五行连环冠”。	1
敌忾之狗脊皮护腕碎片(1/6)	4	1091	\spr\item\citydefence\bigfragment.spr	347	1	1	敌忾之狗脊皮护腕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“敌忾之狗脊皮护腕”。	1
敌忾之狗脊皮护腕碎片(2/6)	4	1092	\spr\item\citydefence\bigfragment.spr	347	1	1	敌忾之狗脊皮护腕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“敌忾之狗脊皮护腕”。	1
敌忾之狗脊皮护腕碎片(3/6)	4	1093	\spr\item\citydefence\bigfragment.spr	347	1	1	敌忾之狗脊皮护腕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“敌忾之狗脊皮护腕”。	1
敌忾之狗脊皮护腕碎片(4/6)	4	1094	\spr\item\citydefence\bigfragment.spr	347	1	1	敌忾之狗脊皮护腕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“敌忾之狗脊皮护腕”。	1
敌忾之狗脊皮护腕碎片(5/6)	4	1095	\spr\item\citydefence\bigfragment.spr	347	1	1	敌忾之狗脊皮护腕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“敌忾之狗脊皮护腕”。	1
敌忾之狗脊皮护腕碎片(6/6)	4	1096	\spr\item\citydefence\bigfragment.spr	347	1	1	敌忾之狗脊皮护腕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“敌忾之狗脊皮护腕”。	1
魔煞之残阳映血甲碎片(1/6)	4	1097	\spr\item\citydefence\bigfragment.spr	347	1	1	魔煞之残阳映血甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煞之残阳映血甲”。	1
魔煞之残阳映血甲碎片(2/6)	4	1098	\spr\item\citydefence\bigfragment.spr	347	1	1	魔煞之残阳映血甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煞之残阳映血甲”。	1
魔煞之残阳映血甲碎片(3/6)	4	1099	\spr\item\citydefence\bigfragment.spr	347	1	1	魔煞之残阳映血甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煞之残阳映血甲”。	1
魔煞之残阳映血甲碎片(4/6)	4	1100	\spr\item\citydefence\bigfragment.spr	347	1	1	魔煞之残阳映血甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煞之残阳映血甲”。	1
魔煞之残阳映血甲碎片(5/6)	4	1101	\spr\item\citydefence\bigfragment.spr	347	1	1	魔煞之残阳映血甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煞之残阳映血甲”。	1
魔煞之残阳映血甲碎片(6/6)	4	1102	\spr\item\citydefence\bigfragment.spr	347	1	1	魔煞之残阳映血甲的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煞之残阳映血甲”。	1
魔嗜之烈焰冠冕碎片(1/6)	4	1103	\spr\item\citydefence\bigfragment.spr	347	1	1	魔嗜之烈焰冠冕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之烈焰冠冕”。	1
魔嗜之烈焰冠冕碎片(2/6)	4	1104	\spr\item\citydefence\bigfragment.spr	347	1	1	魔嗜之烈焰冠冕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之烈焰冠冕”。	1
魔嗜之烈焰冠冕碎片(3/6)	4	1105	\spr\item\citydefence\bigfragment.spr	347	1	1	魔嗜之烈焰冠冕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之烈焰冠冕”。	1
魔嗜之烈焰冠冕碎片(4/6)	4	1106	\spr\item\citydefence\bigfragment.spr	347	1	1	魔嗜之烈焰冠冕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之烈焰冠冕”。	1
魔嗜之烈焰冠冕碎片(5/6)	4	1107	\spr\item\citydefence\bigfragment.spr	347	1	1	魔嗜之烈焰冠冕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之烈焰冠冕”。	1
魔嗜之烈焰冠冕碎片(6/6)	4	1108	\spr\item\citydefence\bigfragment.spr	347	1	1	魔嗜之烈焰冠冕的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之烈焰冠冕”。	1
霜晶之天清冰晶手碎片(1/6)	4	1109	\spr\item\citydefence\bigfragment.spr	347	1	1	霜晶之天清冰晶手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“霜晶之天清冰晶手”。	1
霜晶之天清冰晶手碎片(2/6)	4	1110	\spr\item\citydefence\bigfragment.spr	347	1	1	霜晶之天清冰晶手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“霜晶之天清冰晶手”。	1
霜晶之天清冰晶手碎片(3/6)	4	1111	\spr\item\citydefence\bigfragment.spr	347	1	1	霜晶之天清冰晶手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“霜晶之天清冰晶手”。	1
霜晶之天清冰晶手碎片(4/6)	4	1112	\spr\item\citydefence\bigfragment.spr	347	1	1	霜晶之天清冰晶手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“霜晶之天清冰晶手”。	1
霜晶之天清冰晶手碎片(5/6)	4	1113	\spr\item\citydefence\bigfragment.spr	347	1	1	霜晶之天清冰晶手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“霜晶之天清冰晶手”。	1
霜晶之天清冰晶手碎片(6/6)	4	1114	\spr\item\citydefence\bigfragment.spr	347	1	1	霜晶之天清冰晶手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“霜晶之天清冰晶手”。	1
雾幻之松风雪影靴碎片(1/6)	4	1115	\spr\item\citydefence\bigfragment.spr	347	1	1	雾幻之松风雪影靴的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“雾幻之松风雪影靴”。	1
雾幻之松风雪影靴碎片(2/6)	4	1116	\spr\item\citydefence\bigfragment.spr	347	1	1	雾幻之松风雪影靴的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“雾幻之松风雪影靴”。	1
雾幻之松风雪影靴碎片(3/6)	4	1117	\spr\item\citydefence\bigfragment.spr	347	1	1	雾幻之松风雪影靴的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“雾幻之松风雪影靴”。	1
雾幻之松风雪影靴碎片(4/6)	4	1118	\spr\item\citydefence\bigfragment.spr	347	1	1	雾幻之松风雪影靴的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“雾幻之松风雪影靴”。	1
雾幻之松风雪影靴碎片(5/6)	4	1119	\spr\item\citydefence\bigfragment.spr	347	1	1	雾幻之松风雪影靴的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“雾幻之松风雪影靴”。	1
雾幻之松风雪影靴碎片(6/6)	4	1120	\spr\item\citydefence\bigfragment.spr	347	1	1	雾幻之松风雪影靴的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“雾幻之松风雪影靴”。	1
敌国密件	4	1121	\spr\item\questkey\obj_item_lection01.spr	375	1	1	敌国奸细收集的重要军情。由帮会领导层交给祭酒，可以获得朝廷赏赐。	1
梦龙之玄丝法带碎片(1/6)	4	1122	\spr\item\citydefence\bigfragment.spr	347	1	1	梦龙之玄丝法带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之玄丝法带”。	1
梦龙之玄丝法带碎片(2/6)	4	1123	\spr\item\citydefence\bigfragment.spr	347	1	1	梦龙之玄丝法带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之玄丝法带”。	1
梦龙之玄丝法带碎片(3/6)	4	1124	\spr\item\citydefence\bigfragment.spr	347	1	1	梦龙之玄丝法带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之玄丝法带”。	1
梦龙之玄丝法带碎片(4/6)	4	1125	\spr\item\citydefence\bigfragment.spr	347	1	1	梦龙之玄丝法带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之玄丝法带”。	1
梦龙之玄丝法带碎片(5/6)	4	1126	\spr\item\citydefence\bigfragment.spr	347	1	1	梦龙之玄丝法带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之玄丝法带”。	1
梦龙之玄丝法带碎片(6/6)	4	1127	\spr\item\citydefence\bigfragment.spr	347	1	1	梦龙之玄丝法带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之玄丝法带”。	1
伏魔之乌金软绦碎片(1/6)	4	1128	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之乌金软绦的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“伏魔之乌金软绦”。	1
伏魔之乌金软绦碎片(2/6)	4	1129	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之乌金软绦的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“伏魔之乌金软绦”。	1
伏魔之乌金软绦碎片(3/6)	4	1130	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之乌金软绦的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“伏魔之乌金软绦”。	1
伏魔之乌金软绦碎片(4/6)	4	1131	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之乌金软绦的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“伏魔之乌金软绦”。	1
伏魔之乌金软绦碎片(5/6)	4	1132	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之乌金软绦的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“伏魔之乌金软绦”。	1
伏魔之乌金软绦碎片(6/6)	4	1133	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之乌金软绦的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“伏魔之乌金软绦”。	1
四空之护法腰带碎片(1/6)	4	1134	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之护法腰带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“四空之护法腰带”。	1
四空之护法腰带碎片(2/6)	4	1135	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之护法腰带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“四空之护法腰带”。	1
四空之护法腰带碎片(3/6)	4	1136	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之护法腰带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“四空之护法腰带”。	1
四空之护法腰带碎片(4/6)	4	1137	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之护法腰带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“四空之护法腰带”。	1
四空之护法腰带碎片(5/6)	4	1138	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之护法腰带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“四空之护法腰带”。	1
四空之护法腰带碎片(6/6)	4	1139	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之护法腰带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“四空之护法腰带”。	1
撼天之威武束腰环碎片(1/6)	4	1140	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之威武束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“撼天之威武束腰环”。	1
撼天之威武束腰环碎片(2/6)	4	1141	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之威武束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“撼天之威武束腰环”。	1
撼天之威武束腰环碎片(3/6)	4	1142	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之威武束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“撼天之威武束腰环”。	1
撼天之威武束腰环碎片(4/6)	4	1143	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之威武束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“撼天之威武束腰环”。	1
撼天之威武束腰环碎片(5/6)	4	1144	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之威武束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“撼天之威武束腰环”。	1
撼天之威武束腰环碎片(6/6)	4	1145	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之威武束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“撼天之威武束腰环”。	1
继业之白虎无双扣碎片(1/6)	4	1146	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之白虎无双扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之白虎无双扣”。	1
继业之白虎无双扣碎片(2/6)	4	1147	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之白虎无双扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之白虎无双扣”。	1
继业之白虎无双扣碎片(3/6)	4	1148	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之白虎无双扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之白虎无双扣”。	1
继业之白虎无双扣碎片(4/6)	4	1149	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之白虎无双扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之白虎无双扣”。	1
继业之白虎无双扣碎片(5/6)	4	1150	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之白虎无双扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之白虎无双扣”。	1
继业之白虎无双扣碎片(6/6)	4	1151	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之白虎无双扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之白虎无双扣”。	1
御龙之天门束腰环碎片(1/6)	4	1152	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之天门束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“御龙之天门束腰环”。	1
御龙之天门束腰环碎片(2/6)	4	1153	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之天门束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“御龙之天门束腰环”。	1
御龙之天门束腰环碎片(3/6)	4	1154	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之天门束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“御龙之天门束腰环”。	1
御龙之天门束腰环碎片(4/6)	4	1155	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之天门束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“御龙之天门束腰环”。	1
御龙之天门束腰环碎片(5/6)	4	1156	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之天门束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“御龙之天门束腰环”。	1
御龙之天门束腰环碎片(6/6)	4	1157	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之天门束腰环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“御龙之天门束腰环”。	1
无间之拂云丝带碎片(1/6)	4	1158	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之拂云丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无间之拂云丝带”。	1
无间之拂云丝带碎片(2/6)	4	1159	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之拂云丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无间之拂云丝带”。	1
无间之拂云丝带碎片(3/6)	4	1160	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之拂云丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无间之拂云丝带”。	1
无间之拂云丝带碎片(4/6)	4	1161	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之拂云丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无间之拂云丝带”。	1
无间之拂云丝带碎片(5/6)	4	1162	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之拂云丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无间之拂云丝带”。	1
无间之拂云丝带碎片(6/6)	4	1163	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之拂云丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无间之拂云丝带”。	1
无魇之摩尼冠碎片(1/6)	4	1164	\spr\item\citydefence\bigfragment.spr	347	1	1	无魇之摩尼冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之摩尼冠”。	1
无魇之摩尼冠碎片(2/6)	4	1165	\spr\item\citydefence\bigfragment.spr	347	1	1	无魇之摩尼冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之摩尼冠”。	1
无魇之摩尼冠碎片(3/6)	4	1166	\spr\item\citydefence\bigfragment.spr	347	1	1	无魇之摩尼冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之摩尼冠”。	1
无魇之摩尼冠碎片(4/6)	4	1167	\spr\item\citydefence\bigfragment.spr	347	1	1	无魇之摩尼冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之摩尼冠”。	1
无魇之摩尼冠碎片(5/6)	4	1168	\spr\item\citydefence\bigfragment.spr	347	1	1	无魇之摩尼冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之摩尼冠”。	1
无魇之摩尼冠碎片(6/6)	4	1169	\spr\item\citydefence\bigfragment.spr	347	1	1	无魇之摩尼冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之摩尼冠”。	1
无尘之玉女素心冠碎片(1/6)	4	1170	\spr\item\citydefence\bigfragment.spr	347	1	1	无尘之玉女素心冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之玉女素心冠”。	1
无尘之玉女素心冠碎片(2/6)	4	1171	\spr\item\citydefence\bigfragment.spr	347	1	1	无尘之玉女素心冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之玉女素心冠”。	1
无尘之玉女素心冠碎片(3/6)	4	1172	\spr\item\citydefence\bigfragment.spr	347	1	1	无尘之玉女素心冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之玉女素心冠”。	1
无尘之玉女素心冠碎片(4/6)	4	1173	\spr\item\citydefence\bigfragment.spr	347	1	1	无尘之玉女素心冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之玉女素心冠”。	1
无尘之玉女素心冠碎片(5/6)	4	1174	\spr\item\citydefence\bigfragment.spr	347	1	1	无尘之玉女素心冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之玉女素心冠”。	1
无尘之玉女素心冠碎片(6/6)	4	1175	\spr\item\citydefence\bigfragment.spr	347	1	1	无尘之玉女素心冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之玉女素心冠”。	1
栖凰之风雪白云束带碎片(1/6)	4	1176	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之风雪白云束带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“栖凰之风雪白云束带”。	1
栖凰之风雪白云束带碎片(2/6)	4	1177	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之风雪白云束带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“栖凰之风雪白云束带”。	1
栖凰之风雪白云束带碎片(3/6)	4	1178	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之风雪白云束带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“栖凰之风雪白云束带”。	1
栖凰之风雪白云束带碎片(4/6)	4	1179	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之风雪白云束带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“栖凰之风雪白云束带”。	1
栖凰之风雪白云束带碎片(5/6)	4	1180	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之风雪白云束带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“栖凰之风雪白云束带”。	1
栖凰之风雪白云束带碎片(6/6)	4	1181	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之风雪白云束带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“栖凰之风雪白云束带”。	1
碧海之红铃金丝带碎片(1/6)	4	1182	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之红铃金丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃金丝带”。	1
碧海之红铃金丝带碎片(2/6)	4	1183	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之红铃金丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃金丝带”。	1
碧海之红铃金丝带碎片(3/6)	4	1184	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之红铃金丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃金丝带”。	1
碧海之红铃金丝带碎片(4/6)	4	1185	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之红铃金丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃金丝带”。	1
碧海之红铃金丝带碎片(5/6)	4	1186	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之红铃金丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃金丝带”。	1
碧海之红铃金丝带碎片(6/6)	4	1187	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之红铃金丝带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃金丝带”。	1
幽胧之青蜈缠腰碎片(1/6)	4	1188	\spr\item\citydefence\bigfragment.spr	347	1	1	幽胧之青蜈缠腰的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之青蜈缠腰”。	1
幽胧之青蜈缠腰碎片(2/6)	4	1189	\spr\item\citydefence\bigfragment.spr	347	1	1	幽胧之青蜈缠腰的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之青蜈缠腰”。	1
幽胧之青蜈缠腰碎片(3/6)	4	1190	\spr\item\citydefence\bigfragment.spr	347	1	1	幽胧之青蜈缠腰的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之青蜈缠腰”。	1
