name	ItemGenre	DetailType	ParticularType	Animation file name	Corresponding object index	width	high	instructions	Five elements attributes	price	grade	Whether to stack	Basic attribute 1 type	Basic attribute 1 minimum value	Basic attribute 1 maximum value	Basic attribute 2 type	Basic attribute 2 minimum value	Basic attribute 2 maximum value	Basic attribute 3 types	Basic attribute 3 minimum value	Basic attribute 3 maximum value	Basic attribute 4 types	Basic attribute 4 minimum value	Basic attribute 4 maximum value	Basic attribute 5 types	Minimum value of basic attribute 5	Basic attribute 5 maximum value	Basic attribute 6 types	Basic attribute 6 minimum value	Basic attribute 6 maximum value	Basic attribute 7 types	Minimum value of basic attribute 7	Basic attribute 7 maximum value	Requirement attribute 1 type	Requirement attribute 1 value	Requirement attribute 2 type	Requirement attribute 2 value	Requirement attribute 3 types	Requirement attribute 3 value	Requirement attribute 4 type	Requirement attribute 4 value	Requirement attribute 5 types	Requirement attribute 5 value	Requirement attribute 6 types	Requirement attribute 6 value	Magic attribute index 1	Magic attribute index 2	Magic attribute index 3	Magic attribute index 4	Magic attribute index 5	Magic attribute index 6	In the suit	expansion set	Expansion package serial number	Expansion set hidden attributes 1	Expansion set hidden attributes 2	Number of smeltable properties	Meltable steel quality	Basic armor value	Whether equipment can be upgraded to stars	Number of star stones that can be embedded	Equipment breaks through the blessing value	×(17)éÎ»ÖÃÊýÁ¿	Show icon ID
[CÊp 5]NguyÖt KhuyÕt U Minh HuyÒn Minh Giíi	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (3)	1	99999	10	0																						36	120	39	3									965	902	982	1205	1342	1307	554	529	3	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt U Minh Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle87.spr	34	1	2	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	3									966	882	983	1025	1342	1307	554	529	4	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt U Minh Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash87.spr	33	2	1	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	3									966	922	982	1225	1342	1307	554	529	5	1665	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt U Minh Hé Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth94.spr	22	2	3	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	3									966	942	982	1185	2725	3538	554	529	6	1435	1414	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt U Minh HuyÕt NhÉn	0	0	1	\spr\item\equip\weapon\obj-blade42.spr	10	1	4	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	3									4327	862	1085	1025	1327	3538	554	529	7	1435	130	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt U Minh Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes94.spr	26	2	2	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	3									966	902	982	1205	1265	1307	554	529	8	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt U Minh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist87.spr	36	1	2	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (9)	3	99999	10	0																						36	120	39	3									965	882	983	1025	1342	1307	554	529	9	1666	3558	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt U Minh U Minh Giíi	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (10)	4	99999	10	0																						36	120	39	3									965	922	983	1225	1342	1307	554	529	10	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck87.spr	36	2	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (1)	4	99999	10	0																						36	120	39	2									965	942	982	1185	1005	1307	555	530	1	1668	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap95.spr	28	2	2	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									966	862	983	1025	1342	3543	555	530	2	3558	2831	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh Phi Hoa ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (3)	2	99999	10	0																						36	120	39	2									965	902	982	1205	1342	1307	555	530	3	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle87.spr	34	1	2	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									966	882	983	1025	1342	1307	555	530	4	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash87.spr	32	2	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									966	922	982	1225	1342	1307	555	530	5	1669	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth95.spr	22	2	3	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									966	942	982	1185	2725	3543	555	530	6	1435	1415	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh Phi §ao	0	1	1	\spr\item\equip\weapon\obj-adart36.spr	15	1	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (7)	0	99999	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										36	120	39	2									4328	862	1085	1025	1342	3543	555	530	7	1435	130	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh LÝ	0	5	1	\spr\item\equip\boots\obj-shoes95.spr	26	2	2	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									966	902	982	1205	1265	1307	555	530	8	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh Béi	0	9	1	\spr\item\equip\waist\obj-waist87.spr	36	1	2	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (9)	1	99999	10	0																						36	120	39	2									965	882	983	1025	1342	1307	555	530	9	1670	3558	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Th«i MÖnh TÝch DiÖp ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (10)	3	99999	10	0																						36	120	39	2									965	922	983	1225	1342	1307	555	530	10	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck87.spr	36	2	1	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (1)	4	99999	10	0																						36	120	39	2									965	942	982	1185	1005	1307	556	531	1	1668	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap95.spr	28	2	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									966	862	983	1025	1342	3543	556	531	2	3558	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc Linh Xµ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (3)	2	99999	10	0																						36	120	39	2									965	902	982	1205	1342	1307	556	531	3	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle87.spr	34	1	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									966	882	983	1025	1342	1307	556	531	4	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash87.spr	32	2	1	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									966	922	982	1225	1342	1307	556	531	5	1669	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth95.spr	22	2	3	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									966	942	982	1185	2725	3543	556	531	6	1435	2832	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc Tô TiÔn	0	1	2	\spr\item\equip\weapon\obj-adart37.spr	17	2	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (7)	0	99999	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	120	39	2									4328	862	1085	1025	1342	3543	556	531	7	1435	130	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc LÝ	0	5	1	\spr\item\equip\boots\obj-shoes95.spr	26	2	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									966	902	982	1205	1265	1307	556	531	8	1435	1416	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist87.spr	36	1	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (9)	1	99999	10	0																						36	120	39	2									965	882	983	1025	1342	1307	556	531	9	1672	3558	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt BÝ §éc Kim ThiÒm ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (10)	3	99999	10	0																						36	120	39	2									965	922	983	1225	1342	1307	556	531	10	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck87.spr	36	2	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (1)	4	99999	10	0																						36	120	39	2									965	942	982	1185	1005	1307	557	532	1	1668	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å Ph¸t Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap95.spr	28	2	2	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									966	862	983	1025	1342	3543	557	532	2	3558	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å NhiÕp Ph¸ch ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (3)	2	99999	10	0																						36	120	39	2									965	902	982	1205	1342	1307	557	532	3	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle87.spr	34	1	2	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									966	882	983	1025	1342	1307	557	532	4	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash87.spr	32	2	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									966	922	982	1225	1342	1307	557	532	5	1669	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth95.spr	22	2	3	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									966	942	982	1185	2725	3543	557	532	6	1435	2833	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å Phi Tiªu	0	1	0	\spr\item\equip\weapon\obj-adart38.spr	15	1	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (7)	0	99999	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	120	39	2									4328	862	1085	1025	1342	3543	557	532	7	1435	130	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å LÝ	0	5	1	\spr\item\equip\boots\obj-shoes95.spr	26	2	2	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									966	902	982	1205	1265	1307	557	532	8	1435	1417	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist87.spr	34	1	2	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (9)	1	99999	10	0																						36	120	39	2									965	882	983	1025	1342	1307	557	532	9	1674	3558	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt M¹n §å §o¹t Hån ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (10)	3	99999	10	0																						36	120	39	2									965	922	983	1225	1342	1307	557	532	10	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck89.spr	36	2	1	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (1)	1	99999	10	0																						36	120	39	6									965	942	982	1185	1005	1307	558	533	1	1676	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap99.spr	28	2	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	6									966	862	983	1025	1342	3553	558	533	2	3558	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long V¹n Ch­ëng ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (3)	4	99999	10	0																						36	120	39	6									965	902	982	1205	1342	1307	558	533	3	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle89.spr	34	1	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	6									966	882	983	1025	1342	1307	558	533	4	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash89.spr	32	2	1	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	6									966	922	982	1225	1342	1307	558	533	5	1677	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth99.spr	22	2	3	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	6									966	942	982	1185	2725	3553	558	533	6	1435	2834	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long TriÒn Thñ	0	0	6	\spr\item\equip\weapon\obj-glove16.spr	9	1	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	6									4337	862	1145	1025	1346	3553	558	533	7	1435	130	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes99.spr	26	2	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									966	902	982	1205	1265	1307	558	533	8	1678	3558	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist89.spr	36	1	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (9)	0	99999	10	0																						36	120	39	6									965	882	983	1025	1342	1307	558	533	9	1435	1418	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt XÝch Long Thiªn Lý ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (10)	2	99999	10	0																						36	120	39	6									965	922	983	1225	1342	1307	558	533	10	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck89.spr	36	2	1	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (1)	0	99999	10	0																						36	120	39	6									965	942	982	1185	1005	1307	559	534	1	1680	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap99.spr	28	2	2	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	6									966	862	983	1025	1342	3553	559	534	2	3558	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt Lôc Long Ph¶n ChØ	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (3)	1	99999	10	0																						36	120	39	6									965	902	982	1205	1342	1307	559	534	3	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle89.spr	34	1	2	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	6									966	882	983	1025	1342	1307	559	534	4	1681	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash89.spr	33	2	1	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									966	922	982	1225	1342	1307	559	534	5	1435	1419	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth99.spr	22	2	3	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	6									966	942	982	1185	2725	3553	559	534	6	1435	2835	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt Tr­îng	0	0	2	\spr\item\equip\weapon\obj-spear29.spr	11	1	4	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (7)	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	6									4329	862	1085	1025	1327	3553	559	534	7	1435	130	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes99.spr	26	2	2	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	6									966	902	982	1205	1265	1307	559	534	8	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist89.spr	36	1	2	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (9)	3	99999	10	0																						36	120	39	6									965	882	983	1025	1342	1307	559	534	9	1682	3558	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Hµo KiÖt Linh Th¹ch Ph¶n ChØ	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (10)	4	99999	10	0																						36	120	39	6									965	922	983	1225	1342	1307	559	534	10	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang H¹ng QuyÓn	0	4	1	\spr\item\equip\nick\obj-neck89.spr	36	2	1	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (1)	0	99999	10	0																						36	120	39	7									965	942	982	1185	1005	1307	560	535	1	1684	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap98.spr	28	2	2	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	7									966	862	983	1025	1342	3558	560	535	2	3558	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang LiÖt DiÔm Ph¶n ChØ	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (3)	1	99999	10	0																						36	120	39	7									965	902	982	1205	1342	1307	560	535	3	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle89.spr	34	1	2	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	7									966	882	983	1025	1342	1307	560	535	4	1685	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash89.spr	33	2	1	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									966	922	982	1225	1342	1307	560	535	5	1435	1420	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang Gi¸p	0	2	16	\spr\item\equip\armor\obj-ma-cloth98.spr	23	2	3	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	7									966	942	982	1185	2725	3558	560	535	6	1435	2836	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang Th­¬ng	0	0	3	\spr\item\equip\weapon\obj-staff29.spr	12	1	4	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	7									4330	862	1085	1025	1327	3558	560	535	7	1435	130	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes98.spr	26	2	2	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	7									966	902	982	1205	1265	1307	560	535	8	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang Béi	0	9	1	\spr\item\equip\waist\obj-waist89.spr	36	1	2	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (9)	3	99999	10	0																						36	120	39	7									965	882	983	1025	1342	1307	560	535	9	1686	3558	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt Tham Lang HuyÕt Thó Ph¶n ChØ	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (10)	4	99999	10	0																						36	120	39	7									965	922	983	1225	1342	1307	560	535	10	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt LiÖt D­¬ng H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck89.spr	36	2	1	Bé trang bÞ Thiªn NhÉn §ao cÊp NguyÖt KhuyÕt (1)	1	99999	10	0																						36	120	39	7									965	942	982	1185	1005	1307	561	536	1	1688	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt LiÖt D­¬ng Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap98.spr	28	2	2	Bé trang bÞ Thiªn NhÉn §ao cÊp NguyÖt KhuyÕt (2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	7									966	862	983	1025	1342	3558	561	536	2	3558	1421	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt LiÖt D­¬ng Dung Nham ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ Thiªn NhÉn §ao cÊp NguyÖt KhuyÕt (3)	4	99999	10	0																						36	120	39	7									965	902	982	1205	1342	1307	561	536	3	130		3	10	9600					
[CÊp 5]NguyÖt KhuyÕt LiÖt D­¬ng Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle89.spr	34	1	2	Bé trang bÞ Thiªn NhÉn §ao cÊp NguyÖt KhuyÕt (4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	7									966	882	983	1025	1342	1307	561	536	4	1689	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt LiÖt D­¬ng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash89.spr	33	2	1	Bé trang bÞ Thiªn NhÉn §ao cÊp NguyÖt KhuyÕt (5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	7									966	922	982	1225	1342	1307	561	536	5	1435	1283	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt LiÖt D­¬ng Gi¸p Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth98.spr	23	2	3	Bé trang bÞ Thiªn NhÉn §ao cÊp NguyÖt KhuyÕt (6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	7									966	942	982	1185	2725	3558	561	536	6	1435	2837	3	10	9600					
[CÊp 5]NguyÖt KhuyÕt LiÖt D­¬ng B¶o §ao	0	0	1	\spr\item\equip\weapon\obj-blade43.spr	10	1	4	Bé trang bÞ Thiªn NhÉn §ao cÊp NguyÖt KhuyÕt (7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	7									4338	862	1145	1025	1346	3558	561	536	7	1435	130	3	10	9600					
