Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	×¢ÁéÎ»ÖÃÊýÁ¿	ÏÔÊ¾Í¼±êID	
Thiªn MÖnh Hæ §Çu Béi	0	9	1	\spr\item\equip\waist\obj-waist108yh.spr	36	1	2	"Trang bÞ hoµng kim, mãn thø 9 cña bé trang bÞ Thiªn V­¬ng Th­¬ng Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0																						36	120											4891	5021	5027	5024	4897	4898	480	508	9	4926	1287	2	10							
Thiªn MÖnh Hæ §ÇuH¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 10 cña bé trang bÞ Thiªn V­¬ng Th­¬ng Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0																						36	120											4891	5023	5027	4895	4897	4898	480	508	10	130		2	10							
Thiªn MÖnh §¹i Lùc H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck108yh.spr	36	2	1	"Trang bÞ hoµng kim, mãn thø 1 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0																						36	120											4891	5020	5027	4893	4896	4898	481	509	1	4928	1287	2	10							
Thiªn MÖnh §¹i Lùc Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap120yh.spr	31	2	2	"Trang bÞ hoµng kim, mãn thø 2 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0	30	360	360	31	85	85																36	120											4891	5022	5027	5024	4897	4918	481	509	2	5028	4931	2	10							
Thiªn MÖnh §¹i Lùc Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 3 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0																						36	120											4891	5019	5027	4894	4897	4898	481	509	3	130		2	10							
Thiªn MÖnh §¹i Lùc Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle108yh.spr	34	1	2	"Trang bÞ hoµng kim, mãn thø 4 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0	30	135	135	31	80	80																36	120											4891	5021	5027	5024	4897	4898	481	509	4	5028	1287	2	10							
Thiªn MÖnh §¹i Lùc Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash108yh.spr	33	2	1	"Trang bÞ hoµng kim, mãn thø 5 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0	30	160	160	31	80	80																36	120											4891	5023	5027	4895	4897	4898	481	509	5	4929	1287	2	10							
Thiªn MÖnh §¹i Lùc Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth120yh.spr	23	2	3	"Trang bÞ hoµng kim, mãn thø 6 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0	30	720	720	31	90	90																36	120											4891	5020	5027	4893	4913	4918	481	509	6	5028	2822	2	10							
Thiªn MÖnh §¹i Lùc B¶o §ao	0	0	1	\spr\item\equip\weapon\obj-blade50yh.spr	10	1	4	"Trang bÞ hoµng kim, mãn thø 7 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120											5025	5022	5026	5024	4917	4918	481	509	7	5028	130	2	10							
Thiªn MÖnh §¹i Lùc Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes120yh.spr	26	2	2	"Trang bÞ hoµng kim, mãn thø 8 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0	30	160	160	31	80	80																36	120											4891	5019	5027	4894	4932	4898	481	509	8	5028	1287	2	10							
Thiªn MÖnh §¹i Lùc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist108yh.spr	36	1	2	"Trang bÞ hoµng kim, mãn thø 9 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0																						36	120											4891	5021	5027	5024	4897	4898	481	509	9	4930	1287	2	10							
Thiªn MÖnh §¹i Lùc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring108yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 10 cña bé trang bÞ Thiªn V­¬ng §ao Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0																						36	120											4891	5023	5027	4895	4897	4898	481	509	10	130		2	10							
Thiªn MÖnh V« TuyÖt Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck110yh.spr	36	2	1	"Trang bÞ hoµng kim, mãn thø 1 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0																						36	120											4891	5020	4892	4893	4896	4898	482	510	1	4935	1287	2	10							
Thiªn MÖnh V« TuyÖt Ph¸t §íi	0	7	10	\spr\item\equip\cap\obj-fm-cap123yh.spr	28	2	2	"Trang bÞ hoµng kim, mãn thø 2 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0	30	360	360	31	85	85																36	120											4891	5022	4892	5024	4897	4934	482	510	2	5029	1287	2	10							
Thiªn MÖnh V« TuyÖt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 3 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0																						36	120											4891	5019	4892	4894	4897	4898	482	510	3	130		2	10							
Thiªn MÖnh V« TuyÖt Hé UyÓn	0	8	0	\Spr\item\equip\bangle\obj-bangle110yh.spr	35	1	2	"Trang bÞ hoµng kim, mãn thø 4 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0	30	135	135	31	80	80																36	120											4891	5021	4892	5024	4897	4898	482	510	4	5029	4938	2	10							
Thiªn MÖnh V« TuyÖt Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash110yh.spr	33	2	1	"Trang bÞ hoµng kim, mãn thø 5 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0	30	160	160	31	80	80																36	120											4891	5023	4892	4895	4897	4898	482	510	5	4936	1287	2	10							
Thiªn MÖnh V« TuyÖt Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth123yh.spr	24	2	3	"Trang bÞ hoµng kim, mãn thø 6 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0	30	720	720	31	90	90																36	120											4891	5020	4892	4893	4913	4934	482	510	6	5029	2825	2	10							
Thiªn MÖnh V« TuyÖt Tr­êng KiÕm	0	0	0	\spr\item\equip\weapon\obj-sword44yh.spr	9	1	3	"Trang bÞ hoµng kim, mãn thø 7 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120											4933	5022	5026	5024	4897	4934	482	510	7	5029	130	2	10							
Thiªn MÖnh V« TuyÖt Hµi	0	5	3	\spr\item\equip\boots\obj-shoes123yh.spr	27	2	2	"Trang bÞ hoµng kim, mãn thø 8 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0	30	160	160	31	80	80																36	120											4891	5019	4892	4894	4932	4898	482	510	8	5029	1287	2	10							
Thiªn MÖnh V« TuyÖt H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist110yh.spr	36	1	2	"Trang bÞ hoµng kim, mãn thø 9 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0																						36	120											4891	5021	4892	5024	4897	4898	482	510	9	4937	1287	2	10							
Thiªn MÖnh V« TuyÖt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 10 cña bé trang bÞ Nga Mi KiÕm Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0																						36	120											4891	5023	4892	4895	4897	4898	482	510	10	130		2	10							
Thiªn MÖnh TuyÕt S¾c Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck110yh.spr	36	2	1	"Trang bÞ hoµng kim, mãn thø 1 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0																						36	120											4891	5020	4892	4893	4896	4898	483	511	1	4939	1287	2	10							
Thiªn MÖnh TuyÕt S¾c Ph¸t §íi	0	7	10	\spr\item\equip\cap\obj-fm-cap123yh.spr	28	2	2	"Trang bÞ hoµng kim, mãn thø 2 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0	30	360	360	31	85	85																36	120											4891	5022	4892	5024	4897	4934	483	511	2	5029	1287	2	10							
Thiªn MÖnh TuyÕt S¾c Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 3 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0																						36	120											4891	5019	4892	4894	4897	4898	483	511	3	130		2	10							
Thiªn MÖnh TuyÕt S¾c Hé UyÓn	0	8	0	\Spr\item\equip\bangle\obj-bangle110yh.spr	35	1	2	"Trang bÞ hoµng kim, mãn thø 4 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0	30	135	135	31	80	80																36	120											4891	5021	4892	5024	4897	4898	483	511	4	5029	1287	2	10							
Thiªn MÖnh TuyÕt S¾c Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash110yh.spr	33	2	1	"Trang bÞ hoµng kim, mãn thø 5 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0	30	160	160	31	80	80																36	120											4891	5023	4892	4895	4897	4898	483	511	5	4940	1287	2	10							
Thiªn MÖnh TuyÕt S¾c Tr­êng Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth123yh.spr	24	2	3	"Trang bÞ hoµng kim, mãn thø 6 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0	30	720	720	31	90	90																36	120											4891	5020	4892	4893	4913	4934	483	511	6	5029	2826	2	10							
Thiªn MÖnh TuyÕt S¾c TriÒn Thñ	0	0	6	\spr\item\equip\weapon\obj-glove22yh.spr	9	1	2	"Trang bÞ hoµng kim, mãn thø 7 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	120											4943	5022	5032	5024	4993	4934	483	511	7	5029	130	2	10							
Thiªn MÖnh TuyÕt S¾c Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes123yh.spr	27	2	2	"Trang bÞ hoµng kim, mãn thø 8 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0	30	160	160	31	80	80																36	120											4891	5019	4892	4894	4932	4898	483	511	8	5029	4942	2	10							
Thiªn MÖnh TuyÕt S¾c H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist110yh.spr	36	1	2	"Trang bÞ hoµng kim, mãn thø 9 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0																						36	120											4891	5021	4892	5024	4897	4898	483	511	9	4941	1287	2	10							
Thiªn MÖnh TuyÕt S¾cH¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 10 cña bé trang bÞ Nga Mi Ch­ëng Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0																						36	120											4891	5023	4892	4895	4897	4898	483	511	10	130		2	10							
Thiªn MÖnh Tè La Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck110yh.spr	36	2	1	"Trang bÞ hoµng kim, mãn thø 1 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0																						36	120											4891	5020	4892	4893	4896	4898	484	512	1	4944	1287	2	10							
Thiªn MÖnh Tè La Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap124yh.spr	28	2	2	"Trang bÞ hoµng kim, mãn thø 2 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0	30	360	360	31	85	85																36	120											4891	5022	4892	5024	4897	4934	484	512	2	5029	1287	2	10							
Thiªn MÖnh Tè La Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 3 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0																						36	120											4891	5019	4892	4894	4897	4898	484	512	3	130		2	10							
Thiªn MÖnh Tè LaTô	0	8	0	\Spr\item\equip\bangle\obj-bangle110yh.spr	35	1	2	"Trang bÞ hoµng kim, mãn thø 4 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0	30	135	135	31	80	80																36	120											4891	5021	4892	5024	4897	4898	484	512	4	5029	4950	2	10							
Thiªn MÖnh Tè La Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash110yh.spr	32	2	1	"Trang bÞ hoµng kim, mãn thø 5 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0	30	160	160	31	80	80																36	120											4891	5023	4892	4895	4897	4898	484	512	5	4945	1287	2	10							
Thiªn MÖnh Tè La Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth124yh.spr	24	2	3	"Trang bÞ hoµng kim, mãn thø 6 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0	30	720	720	31	90	90																36	120											4891	5020	4892	4893	4913	4934	484	512	6	5029	2827	2	10							
Thiªn MÖnh Tè La §ao	0	0	1	\spr\item\equip\weapon\obj-blade51yh.spr	10	1	4	"Trang bÞ hoµng kim, mãn thø 7 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120											4933	5022	5026	5024	4897	4934	484	512	7	5029	130	2	10							
Thiªn MÖnh Tè La Hµi	0	5	3	\spr\item\equip\boots\obj-shoes124yh.spr	27	2	2	"Trang bÞ hoµng kim, mãn thø 8 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0	30	160	160	31	80	80																36	120											4891	5019	4892	4894	4932	4898	484	512	8	5029	1287	2	10							
Thiªn MÖnh Tè La H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist110yh.spr	36	1	2	"Trang bÞ hoµng kim, mãn thø 9 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0																						36	120											4891	5021	4892	5024	4897	4898	484	512	9	4946	1287	2	10							
Thiªn MÖnh Tè LaH¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 10 cña bé trang bÞ Thóy Yªn §ao Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0																						36	120											4891	5023	4892	4895	4897	4898	484	512	10	130		2	10							
Thiªn MÖnh BÝch La Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck110yh.spr	36	2	1	"Trang bÞ hoµng kim, mãn thø 1 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	0	99999	10	0																						36	120											4891	5020	4892	4893	4896	4898	485	513	1	4947	1287	2	10							
Thiªn MÖnh BÝch La Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap124yh.spr	28	2	2	"Trang bÞ hoµng kim, mãn thø 2 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	2	99999	10	0	30	360	360	31	85	85																36	120											4891	5022	4892	5024	4897	4934	485	513	2	5029	1287	2	10							
Thiªn MÖnh BÝch La Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 3 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	1	99999	10	0																						36	120											4891	5019	4892	4894	4897	4898	485	513	3	130		2	10							
Thiªn MÖnh BÝch La Tô	0	8	0	\Spr\item\equip\bangle\obj-bangle110yh.spr	35	1	2	"Trang bÞ hoµng kim, mãn thø 4 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	3	99999	10	0	30	135	135	31	80	80																36	120											4891	5021	4892	5024	4897	4898	485	513	4	4948	1287	2	10							
Thiªn MÖnh BÝch La Yªu §íi	0	6	0	\spr\item\equip\sash\obj-sash110yh.spr	33	2	1	"Trang bÞ hoµng kim, mãn thø 5 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	4	99999	10	0	30	160	160	31	80	80																36	120											4891	5023	4892	4895	4897	4898	485	513	5	5029	4951	2	10							
Thiªn MÖnh BÝch La Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth124yh.spr	24	2	3	"Trang bÞ hoµng kim, mãn thø 6 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	0	99999	10	0	30	720	720	31	90	90																36	120											4891	5020	4892	4893	4913	4934	485	513	6	5029	2828	2	10							
Thiªn MÖnh BÝch La Uyªn ¦¬ng §ao	0	0	5	\spr\item\equip\weapon\obj-adsd30yh.spr	14	2	3	"Trang bÞ hoµng kim, mãn thø 7 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	2	99999	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										36	120											4943	5022	5032	5024	4993	4934	485	513	7	5029	130	2	10							
Thiªn MÖnh BÝch La Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes124yh.spr	27	2	2	"Trang bÞ hoµng kim, mãn thø 8 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	1	99999	10	0	30	160	160	31	80	80																36	120											4891	5019	4892	4894	4932	4898	485	513	8	5029	1287	2	10							
Thiªn MÖnh BÝch La H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist110yh.spr	36	1	2	"Trang bÞ hoµng kim, mãn thø 9 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	3	99999	10	0																						36	120											4891	5021	4892	5024	4897	4898	485	513	9	4949	1287	2	10							
Thiªn MÖnh BÝch La H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring110yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 10 cña bé trang bÞ Thóy Yªn Song §ao cÊp Thiªn MÖnh"	4	99999	10	0																						36	120											4891	5023	4892	4895	4897	4898	485	513	10	130		2	10							
Thiªn MÖnh Ban Lan Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck109yh.spr	36	2	1	"Trang bÞ hoµng kim, mãn thø 1 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0																						36	120											4891	5020	4892	4893	4896	4898	486	514	1	4954	1287	2	10							
Thiªn MÖnh Ban Lan Ph¸t §íi	0	7	2	\spr\item\equip\cap\obj-ma-cap121yh.spr	28	2	2	"Trang bÞ hoµng kim, mãn thø 2 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0	30	360	360	31	85	85																36	120											4891	5022	4892	5024	4897	4952	486	514	2	5029	2829	2	10							
Thiªn MÖnh Ban Lan Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring109yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 3 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0																						36	120											4891	5019	4892	4894	4897	4898	486	514	3	130		2	10							
Thiªn MÖnh Ban Lan Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle109yh.spr	34	1	2	"Trang bÞ hoµng kim, mãn thø 4 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0	30	135	135	31	80	80																36	120											4891	5021	4892	5024	4897	4898	486	514	4	5029	1287	2	10							
Thiªn MÖnh Ban Lan Yªu §íi	0	6	1	\spr\item\equip\sash\obj-sash109yh.spr	32	2	1	"Trang bÞ hoµng kim, mãn thø 5 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0	30	160	160	31	80	80																36	120											4891	5023	4892	4895	4897	4898	486	514	5	4955	1287	2	10							
Thiªn MÖnh Ban Lan BÝ Trang	0	2	2	\spr\item\equip\armor\obj-ma-cloth121yh.spr	22	2	3	"Trang bÞ hoµng kim, mãn thø 6 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0	30	720	720	31	90	90																36	120											4891	5020	4892	4893	4913	4952	486	514	6	5029	4963	2	10							
Thiªn MÖnh Ban Lan TriÒn Thñ	0	0	6	\spr\item\equip\weapon\obj-glove23yh.spr	9	1	2	"Trang bÞ hoµng kim, mãn thø 7 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120											4943	5022	4962	5024	4993	4952	486	514	7	5029	130	2	10							
Thiªn MÖnh Ban Lan Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes121yh.spr	26	2	2	"Trang bÞ hoµng kim, mãn thø 1 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0	30	160	160	31	80	80																36	120											4891	5019	4892	4894	4932	4898	486	514	8	5029	1287	2	10							
Thiªn MÖnh Ban Lan Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist109yh.spr	36	1	2	"Trang bÞ hoµng kim, mãn thø 9 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0																						36	120											4891	5021	4892	5024	4897	4898	486	514	9	4956	1287	2	10							
Thiªn MÖnh Ban Lan H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring109yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 10 cña bé trang bÞ Ngò §éc Ch­ëng Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0																						36	120											4891	5023	4892	4895	4897	4898	486	514	10	130		2	10							
Thiªn MÖnh Lôc Quang H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck109yh.spr	36	2	1	"Trang bÞ hoµng kim, mãn thø 1 cña bé trang bÞ Ngò §éc §ao Ph¸p cÊp Thiªn MÖnh"	0	99999	10	0																						36	120											4891	5020	4892	4893	4896	4898	487	515	1	4960	1287	2	10							
Thiªn MÖnh Lôc Quang Ph¸t §íi	0	7	2	\spr\item\equip\cap\obj-ma-cap121yh.spr	28	2	2	"Trang bÞ hoµng kim, mãn thø 2 cña bé trang bÞ Ngò §éc §ao Ph¸p cÊp Thiªn MÖnh"	2	99999	10	0	30	360	360	31	85	85																36	120											4891	5022	4892	5024	4897	4952	487	515	2	5029	2830	2	10							
Thiªn MÖnh Lôc Quang Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring109yh.spr	37	1	1	"Trang bÞ hoµng kim, mãn thø 3 cña bé trang bÞ Ngò §éc §ao Ph¸p cÊp Thiªn MÖnh"	1	99999	10	0																						36	120											4891	5019	4892	4894	4897	4898	487	515	3	130		2	10							
Thiªn MÖnh Lôc Quang Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle109yh.spr	34	1	2	"Trang bÞ hoµng kim, mãn thø 4 cña bé trang bÞ Ngò §éc §ao Ph¸p cÊp Thiªn MÖnh"	3	99999	10	0	30	135	135	31	80	80																36	120											4891	5021	4892	5024	4897	4898	487	515	4	5029	1287	2	10							
Thiªn MÖnh Lôc Quang Yªu §íi	0	6	1	\spr\item\equip\sash\obj-sash109yh.spr	33	2	1	"Trang bÞ hoµng kim, mãn thø  5 cña bé trang bÞ Ngò §éc §ao Ph¸p cÊp Thiªn MÖnh"	4	99999	10	0	30	160	160	31	80	80																36	120											4891	5023	4892	4895	4897	4898	487	515	5	4957	1287	2	10							
